outer,nonlinear_objective,accepted,lambda,attempts,lambda_next,step_norm,linear_residual_norm,scale,actual_reduction,rho,relative_objective_improvement
0,3548660355.5203156,True,0.0,0,,,,,,,
1,1162985680.59589,True,16064.839580867898,1,10709.893053911932,7.986741696488402,9.004758395303155e-08,7096883153.98297,2385674674.9244256,0.3361580884399256,0.6722747279021102
2,89239117.52959096,True,10709.893053911932,1,7139.928702607955,5.252271747127137,2.772657319590051e-07,2325409771.0092354,1073746563.066299,0.4617450981984519,0.9232672258837556
3,467597.3630611991,True,7139.928702607955,1,4759.952468405303,3.6539904925238558,1.7184510920038956e-07,178138769.22510248,88771520.16652976,0.49832790780290454,0.9947601749545971
4,416871.9757674166,True,4759.952468405303,1,3173.3016456035352,4.07068448261404,1.1477207355452859e-08,330270.6949911452,50725.38729378249,0.15358730902583553,0.1084809096477808
5,352025.68147995207,True,6346.6032912070705,2,4231.068860804713,3.3293860334498677,1.178917836276312e-09,486323.0498777059,64846.29428746452,0.13333995644206298,0.15555445809973062
6,243904.47218932468,True,4231.068860804713,1,2820.7125738698087,2.6915937603246407,2.3980042613793002e-09,379727.8600741452,108121.20929062739,0.2847334121586859,0.30714011783479755
7,196923.241693828,True,2820.7125738698087,1,1880.4750492465391,2.623859605463367,3.094601794550514e-09,137489.71253517387,46981.23049549668,0.3417072421580452,0.1926214393437964
8,189548.1055411277,True,3760.9500984930783,2,2507.300065662052,2.701083814140788,7.669847097022816e-10,83369.30419774742,7375.136152700288,0.08846344855184193,0.03745183193849201
9,182867.92066760137,True,5014.600131324104,2,3343.066754216069,2.062070187900197,6.056644736349638e-10,55391.300733709635,6680.184873526334,0.12059989177074795,0.035242688680298534
10,179411.08084877778,True,6686.133508432138,2,4457.422338954759,1.1976167539525382,4.109512689454996e-10,20894.234231254042,3456.839818823588,0.16544467629508877,0.01890347856640793
11,178768.54191191337,True,4457.422338954759,1,2971.614892636506,0.9289986663670842,1.3767437369463141e-09,8148.340639115919,642.5389368644101,0.07885518847603362,0.0035813782171347265
12,177570.39164795686,True,5943.229785273012,2,3962.1531901820076,0.8150959813294792,6.162539631476751e-10,8282.571621716503,1198.1502639565151,0.1446592095642159,0.006702243309378745
13,177298.66008162798,True,3962.1531901820076,1,2641.435460121338,0.891874567904489,5.989074832586174e-10,6639.906294453385,271.7315663288755,0.04092400619506712,0.0015302751985116886
14,176462.74542469232,True,5282.870920242676,2,3521.9139468284507,0.9111510280014843,2.146112107048426e-10,9271.319004083147,835.9146569356672,0.09016135207595867,0.004714726307298733
15,175348.8828272263,True,7043.827893656901,2,4695.885262437934,0.6289437034209011,3.388191702172107e-10,5800.531224784008,1113.86259746601,0.19202768751710086,0.006312168581449192
16,174819.35488643544,True,4695.885262437934,1,3130.590174958623,0.5203276689838582,9.081116909723201e-10,2624.979102358525,529.5279407908674,0.20172653577130972,0.0030198535186141944
17,174793.99404975394,True,3130.590174958623,1,2087.0601166390816,0.811961078026203,1.214766665947828e-09,4313.354418084929,25.360836681502406,0.005879608820265289,0.0001450688151662445
18,173774.37280591813,True,16696.480933112653,3,11130.987288741768,0.2895487165220152,6.940804826245821e-11,2848.7660172242504,1019.6212438358052,0.35791680947854493,0.005833273902680986
19,173434.80516199511,True,11130.987288741768,1,7420.658192494511,0.1996939597228471,6.509708316969586e-11,899.0281031014663,339.56764392301557,0.3777052605492258,0.0019540720443414605
20,173128.99142639423,True,7420.658192494511,1,4947.105461663007,0.20235233436811198,4.156043682993673e-10,613.326657909163,305.81373560088105,0.49861477836851775,0.0017632777648940688
21,172691.57576469198,True,4947.105461663007,1,3298.070307775338,0.2957821852457226,5.966854176886235e-10,875.8621329514158,437.4156617022527,0.49941154577408386,0.002526530410062603
22,172074.66878345117,True,3298.070307775338,1,2198.7135385168917,0.4293933867822746,6.897567661537469e-10,1235.4163744102254,616.9069812408125,0.4993514688805361,0.00357230500972094
23,171221.30328260164,True,2198.7135385168917,1,1465.8090256779278,0.6194729156183879,1.1083739552337398e-09,1719.7080221345723,853.3655008495261,0.4962269698493898,0.004959274406179164
24,170130.67570903874,True,1465.8090256779278,1,977.2060171186185,0.8951057432801617,1.6863255512395913e-09,2411.5576158712993,1090.6275735629024,0.4522502661288717,0.006369695549874516
25,169843.7780628665,True,7817.648136948948,3,5211.765424632632,0.2310208261443067,4.2487614987666065e-10,844.9407806450903,286.8976461722341,0.3395476378275827,0.001686336958203192
26,169531.14970913116,True,5211.765424632632,1,3474.510283088421,0.25386512476310974,1.1394748249329243e-10,677.6428271551291,312.6283537353447,0.4613468057321832,0.0018406818153775847
27,169091.52360923274,True,3474.510283088421,1,2316.340188725614,0.3730630188975819,7.105362077630175e-10,975.8253757099093,439.62609989842167,0.4505171835468978,0.0025931877454538543
28,168600.7313646641,True,2316.340188725614,1,1544.2267924837427,0.5828878117485645,7.202804259948577e-10,1608.8403844996662,490.79224456864176,0.30505962511705187,0.002902524231213702
29,168302.86366938427,True,12353.814339869941,3,8235.87622657996,0.18358005811780131,8.497158943768671e-11,842.232092326432,297.8676952798269,0.35366462284410244,0.0017667046451629745
30,168118.49000699903,True,8235.87622657996,1,5490.584151053306,0.15236737335870232,3.8585067469610785e-11,383.69840438541985,184.37366238524555,0.4805171464826961,0.0010954873753510868
31,167852.7766613131,True,5490.584151053306,1,3660.3894340355373,0.2198658185752848,2.0891184874258753e-10,532.9702138510731,265.71334568591556,0.49855196178029443,0.001580512326008005
32,167462.35323279715,True,3660.3894340355373,1,2440.259622690358,0.32629861394219256,2.6482648044458584e-10,783.4009062252358,390.42342851596186,0.49836989645211255,0.0023259873103186326
33,166894.77637310498,True,2440.259622690358,1,1626.8397484602385,0.4831231737973017,2.4530042921659484e-10,1147.7774275823285,567.5768596921698,0.4945008030761768,0.0033892803291922873
34,166136.23272241163,True,1626.8397484602385,1,1084.5598323068257,0.7251824382199925,1.012996089683822e-09,1729.8234007319354,758.5436506933474,0.43850930122253345,0.004545041295945476
35,165912.56476726796,True,8676.478658454605,3,5784.319105636403,0.19021899953129098,1.506263531421185e-10,635.0640213857657,223.66795514366822,0.35219749129482253,0.0013462924461359572
36,165684.22701645741,True,5784.319105636403,1,3856.212737090935,0.20060137653504415,4.395316140026363e-11,466.83744731635755,228.33775081054773,0.48911618406612556,0.0013762535172115867
37,165348.36026447068,True,3856.212737090935,1,2570.8084913939565,0.29678389012472584,2.793002587278125e-10,682.0619078898941,335.8667519867304,0.4924285436578723,0.0020271498261169346
38,164862.9534905007,True,2570.8084913939565,1,1713.872327595971,0.44431987990132366,5.063097269642926e-10,1020.6407570939405,485.4067739699967,0.47559023152484153,0.0029356612499428503
39,164347.0404413601,True,1713.872327595971,1,1142.5815517306473,0.6983813486409983,6.742879110922456e-10,1702.6163947615303,515.9130491405958,0.3030119119773042,0.003129344939039458
40,163990.5000370815,True,9140.652413845179,3,6093.768275896786,0.2570983479253374,1.0213992623895199e-10,1229.2636778603032,356.54040427858126,0.290043878054859,0.002169436111055476
41,163787.76434747383,True,6093.768275896786,1,4062.5121839311905,0.18416866785450794,1.9781486068555194e-11,414.468939534147,202.7356896076817,0.48914567599577347,0.0012362648419380338
42,163488.65436585998,True,4062.5121839311905,1,2708.341455954127,0.27264071712418725,6.573045004955249e-11,605.5418924102921,299.10998161384487,0.49395423398911487,0.001826204678997184
43,163050.65367557263,True,2708.341455954127,1,1805.5609706360847,0.4073259279060638,2.5691015191325686e-10,902.9028607246448,438.00069028735743,0.4851027827465628,0.00267908921255897
44,162493.65420471062,True,1805.5609706360847,1,1203.7073137573898,0.6272432996046007,5.198155429200282e-10,1435.3405720472847,556.999470862007,0.3880608419418786,0.0034161130808484067
45,162268.12563649422,True,9629.658510059118,3,6419.772340039412,0.1844103894354806,3.049141087825126e-11,662.824773476987,225.5285682163958,0.3402536797671852,0.0013879223119216296
46,162086.35705489843,True,6419.772340039412,1,4279.84822669294,0.16822189320627542,2.3051647703231638e-11,363.8342857112084,181.7685815957957,0.4995916787789306,0.001120174284893051
47,161815.68837728028,True,4279.84822669294,1,2853.232151128627,0.25126315817656253,1.1948148687924463e-10,541.4607322637798,270.668677618145,0.4998860701985036,0.001669904133427281
