iteration,graph_error,lambda,absolute_decrease,relative_decrease
0,2207091633.408658,0.001,,
1,1707551344.2069542,10000000.0,499540289.2017038,0.2263341864198941
2,1686835941.3455667,10000000.0,20715402.86138749,0.012131642736053971
3,1212118081.897022,1000000.0,474717859.44854474,0.28142503240111694
4,804065762.5476444,100000.0,408052319.34937763,0.3366440328245549
5,685233975.417563,10000.0,118831787.13008142,0.14778864200556
6,255127807.63037184,100000000.0,430106167.78719115,0.6276778198645159
7,71979308.57745521,100000000.0,183148499.05291665,0.717869607213736
8,18901747.962378636,100000000.0,53077560.61507657,0.7374002566023691
9,5366585.527628453,100000000.0,13535162.434750183,0.7160799340722396
10,2028151.380022179,100000000.0,3338434.147606274,0.6220778799516423
11,1208087.0742072572,100000000.0,820064.3058149219,0.40434077746502034
12,1003713.8174032744,100000000.0,204373.2568039829,0.1691709655432676
13,949713.8285327929,100000000.0,53999.988870481495,0.05380018480784275
14,922209.1488647135,10000000.0,27504.679668079363,0.028961018405482392
15,920900.923377083,10000000.0,1308.225487630465,0.0014185778673318926
16,878967.2944075604,100000000.0,41933.62896952266,0.045535440246650745
17,872308.2201366958,10000000.0,6659.074270864599,0.007576020533679736
18,853557.4346221694,100000000.0,18750.78551452642,0.021495596489493198
19,848296.4923730649,10000000.0,5260.942249104497,0.006163548035210161
20,839418.7841787835,100000000.0,8877.708194281324,0.010465336440855014
21,834439.3665710622,10000000.0,4979.417607721291,0.005931982583154524
22,834108.5385237408,10000000.0,330.82804732141085,0.00039646744937367115
23,827182.943559786,100000000.0,6925.594963954878,0.008302990131490853
24,825469.0754990729,10000000.0,1713.8680607130518,0.0020719335112706896
25,822431.8914447009,100000000.0,3037.1840543720173,0.0036793432298305746
26,821196.1327824369,10000000.0,1235.7586622639792,0.001502566565230368
27,820639.8249795939,10000000.0,556.3078028430464,0.0006774359749578016
28,818240.0382363364,100000000.0,2399.7867432574276,0.0029242874525582537
