iteration,graph_error,lambda,absolute_decrease,relative_decrease
0,9482631.844743473,0.001,,
1,6264119.401931368,100.0,3218512.4428121056,0.33941130432014294
2,1716389.431428921,10.0,4547729.970502447,0.7259966930228502
3,279796.3027041517,1.0,1436593.1287247692,0.8369855362770342
4,129497.53216572684,0.1,150298.7705384249,0.5371721108743397
5,64743.799001458705,0.01,64753.73316426813,0.5000383565719102
6,43120.53268561347,0.001,21623.266315845234,0.3339820438302988
7,37774.71093429822,0.01,5345.821751315249,0.12397392653497537
8,12944.807265678612,0.001,24829.903668619612,0.6573155175642882
9,9695.29916221841,0.1,3249.508103460201,0.2510279246934659
10,3162.4567075114996,0.01,6532.842454706912,0.6738154589561022
11,2903.7666959195876,0.1,258.690011591912,0.08180033294288863
12,2651.9533503118996,0.1,251.813345607688,0.08671955152648439
13,2463.532629616291,0.1,188.42072069560845,0.07104978700830014
14,2427.676636322623,0.01,35.855993293668234,0.014554706060155981
15,2041.75580889963,0.001,385.92082742299294,0.15896714646789825
16,1960.1733137472868,100.0,81.5824951523432,0.03995702855196514
17,1959.0368784430996,1000.0,1.1364353041872164,0.0005797626649730679
17,1959.0368784430996,100000.0,0.0,0.0
