iteration,graph_error,custom_objective,lambda,absolute_decrease,relative_decrease
0,2207090831.262298,2207090831.262298,1e-05,,
1,1707550947.086781,1707550947.0867805,10000000.0,499539884.1755171,0.22633408516758505
2,1686834128.786254,1686834128.7862542,10000000.0,20716818.300527096,0.0121324744868501
3,1212117410.1710474,1212117410.1710467,1000000.0,474716718.6152065,0.2814246584854105
4,804063513.0441977,804063513.0441974,100000.0,408053897.1268498,0.3366455210549838
5,685229536.6629915,685229536.6629908,10000.0,118833976.38120615,0.14779177820331477
6,255125660.35633975,255125660.3563394,100000000.0,430103876.3066518,0.6276785417062148
7,71978737.5163335,71978737.51633342,100000000.0,183146922.84000623,0.7178694710057812
8,18901628.677867956,18901628.6778679,100000000.0,53077108.83846555,0.7373998304210493
9,5366563.182634297,5366563.182634281,100000000.0,13535065.495233659,0.7160793244807501
10,2028147.3873166775,2028147.3873166677,100000000.0,3338415.795317619,0.6220770503774976
11,1208086.1753434155,1208086.175343423,100000000.0,820061.211973262,0.4043400480170412
12,1003713.3448204284,1003713.3448204263,100000000.0,204372.83052298706,0.16917073855670206
13,949713.3919549135,949713.3919549132,100000000.0,53999.952865514904,0.05380017426706216
14,922208.8807815091,922208.8807815152,10000000.0,27504.511173404404,0.028960854302357935
15,920900.7726193644,920900.7726193706,10000000.0,1308.1081621446647,0.0014184510574612253
16,878967.1247671664,878967.1247671621,100000000.0,41933.64785219799,0.04553546820568301
17,872308.1306341065,872308.130634108,10000000.0,6658.994133059983,0.007575930823150996
18,853557.3142925852,853557.3142925951,100000000.0,18750.81634152122,0.021495634034605065
19,848296.4254324561,848296.425432459,10000000.0,5260.888860129169,0.0061634863553237905
20,839418.6933855232,839418.6933855282,100000000.0,8877.732046932913,0.010465365384991576
21,834439.307079116,834439.3070791234,10000000.0,4979.386306407163,0.005931945935495459
22,834108.5122906375,834108.512290639,10000000.0,330.7947884785244,0.00039642761992653906
23,827182.8902989827,827182.8902989908,100000000.0,6925.621991654742,0.008303022795721779
24,825469.0409797174,825469.0409797208,10000000.0,1713.8493192653405,0.002071910987721077
25,822431.8416401334,822431.841640141,100000000.0,3037.199339583982,0.0036793619006949634
26,821196.0962429332,821196.0962429331,10000000.0,1235.7453972002259,0.00150255052714866
27,820639.802250195,820639.8022502075,10000000.0,556.2939927382395,0.000677419188039676
28,818240.0005956055,818240.000595612,100000000.0,2399.801654589479,0.0029243057039266447
29,817726.3912042539,817726.391204255,10000000.0,513.6093913515797,0.0006277001747381184
30,817194.9685277926,817194.9685277999,1000000.0,531.4226764612831,0.0006498783482806083
31,793030.0138952032,793030.0138952055,100000.0,24164.95463258936,0.029570611131054116
32,726953.6932573961,726953.6932573954,100000000.0,66076.32063780713,0.08332133649425649
33,710693.7650256773,710693.7650256825,100000000.0,16259.928231718834,0.022367213183634792
34,706573.2537005142,706573.253700519,100000000.0,4120.511325163068,0.005797871780983184
35,705726.7179838773,705726.7179838729,10000000.0,846.5357166369213,0.0011980862737209284
36,704261.0942507049,704261.0942507023,1000000.0,1465.623733172426,0.0020767581782356564
37,693570.2655706583,693570.2655706705,100000.0,10690.828680046601,0.015180206271966586
38,588679.0942998392,588679.094299843,100000000.0,104891.17127081903,0.15123366222240842
39,563323.3978746483,563323.3978746528,100000000.0,25355.696425190894,0.04307218766677684
40,557137.3040381162,557137.3040381268,100000000.0,6186.093836532091,0.010981425340881422
41,555554.0821825555,555554.0821825597,100000000.0,1583.2218555607833,0.0028417085771956637
42,554522.7120166325,554522.7120166349,10000000.0,1031.3701659229118,0.0018564712221554747
43,544497.4961831955,544497.4961832004,1000000.0,10025.215833437047,0.018078999500269966
44,486051.316893334,486051.3168933346,100000.0,58446.179289861524,0.10733966583787077
45,444798.6429451929,444798.64294519846,100000000.0,41252.67394814105,0.08487308338513179
46,434687.8699721185,434687.8699721255,100000000.0,10110.772973074403,0.022731123697066292
47,432127.1547498574,432127.1547498578,100000000.0,2560.7152222611476,0.005890928639037927
48,431482.7981711756,431482.798171183,10000000.0,644.3565786817926,0.0014911272564085611
49,430067.83368860075,430067.8336885996,1000000.0,1414.96448257484,0.003279306819581491
50,422296.06470719003,422296.064707187,100000000.0,7771.768981410714,0.01807103059708953
51,420309.42544130055,420309.42544129945,100000000.0,1986.6392658894765,0.004704375512632268
52,419600.72465795715,419600.7246579564,10000000.0,708.7007833434036,0.0016861405917778522
53,416693.719797409,416693.7197974114,1000000.0,2907.004860548128,0.00692802631100747
54,406209.9973387995,406209.9973388034,100000.0,10483.722458609496,0.025159300369841292
55,358674.8326908098,358674.8326908092,100000000.0,47535.16464798973,0.11702115890649294
56,347297.91608951427,347297.9160895232,100000000.0,11376.916601295525,0.03171930552234431
57,344562.99440884934,344562.9944088534,100000000.0,2734.9216806649347,0.007874857734418489
58,343882.02680788253,343882.02680787945,100000000.0,680.9676009668037,0.001976322507108194
59,343555.3452539561,343555.34525396564,10000000.0,326.6815539264353,0.0009499814717241484
60,340039.808127048,340039.808127056,1000000.0,3515.537126908079,0.010232811613830063
61,324247.72872828087,324247.72872828715,100000.0,15792.07939876715,0.04644185481032504
62,306276.1423810076,306276.1423810079,100000000.0,17971.58634727326,0.05542548105967898
63,301892.7082669489,301892.70826695644,100000000.0,4383.434114058735,0.014312032533718351
64,300791.42387995525,300791.423879963,100000000.0,1101.2843869936187,0.003647933046530581
65,300610.3134078625,300610.31340786966,10000000.0,181.1104720927542,0.0006021131512214747
66,300169.90550804476,300169.90550805046,100000000.0,440.4078998177429,0.0014650458755891239
67,300038.3463032582,300038.3463032613,10000000.0,131.55920478655025,0.0004382824606080451
68,298337.7859976436,298337.78599764657,1000000.0,1700.5603056146065,0.005667809886859583
69,291852.4075154982,291852.40751549473,100000.0,6485.378482145374,0.021738374374731726
70,279972.078458664,279972.07845866587,100000000.0,11880.32905683422,0.04070663373302254
