iteration,graph_error,custom_objective,lambda,absolute_decrease,relative_decrease
0,3548660355.520316,3548660355.5203156,1e-05,,
1,2531414931.147008,2531414931.1470075,1.0000000000000002e-06,1017245424.3733082,0.2866561807728022
2,36233188.83748582,36233188.83748585,1.0000000000000002e-07,2495181742.309522,0.9856865864257709
3,77513.1667041425,77513.16670414036,1.0000000000000002e-08,36155675.67078168,0.9978607136387635
4,10781.400185080423,10781.400185080376,1.0000000000000003e-09,66731.76651906208,0.8609087895191846
5,656.4416997903998,656.441699790116,1.0000000000000003e-10,10124.958485290024,0.9391135020942085
6,419.24711818642106,419.2471181863582,1.0000000000000003e-11,237.1945816039787,0.3613338117912289
7,393.12359263834236,393.1235926383456,1.0000000000000002e-12,26.123525548078703,0.06231056676330617
8,388.8677338348355,388.8677338348358,1.0000000000000002e-13,4.25585880350684,0.010825752723068075
9,386.9681463337534,386.9681463337547,1.0000000000000002e-14,1.8995875010821237,0.004884919307522025
10,385.91572432317787,385.9157243231775,1e-15,1.0524220105755262,0.0027196605729605202
11,385.4873045394686,385.4873045394679,1.0000000000000001e-16,0.42841978370927336,0.001110138190043019
12,385.28200816918593,385.2820081691856,1e-17,0.20529637028266734,0.0005325632462213754
13,385.19253939566437,385.19253939566516,1e-18,0.0894687735215598,0.0002322163288825884
14,385.15205074232176,385.152050742322,1.0000000000000001e-19,0.04048865334260654,0.00010511276621849927
15,385.1340233456084,385.13402334560857,1.0000000000000001e-20,0.018027396713364396,4.680592165774359e-05
16,385.12596372215046,385.1259637221504,1.0000000000000001e-21,0.00805962345793887,2.092680202056932e-05
17,385.122371764298,385.12237176429784,1e-22,0.003591957852449923,9.326709157010626e-06
18,385.12077230374007,385.1207723037411,1.0000000000000001e-23,0.0015994605579408017,4.153122942750522e-06
19,385.12006080786426,385.1200608078647,1.0000000000000001e-24,0.0007114958758052126,1.8474616976621152e-06
20,385.11974458614736,385.1197445861478,1.0000000000000002e-25,0.00031622171690059986,8.210990521689867e-07
21,385.119604106001,385.11960410600204,1.0000000000000002e-26,0.00014048014634227002,3.6477004442665246e-07
22,385.1195417273068,385.1195417273071,1.0000000000000002e-27,6.237869422420772e-05,1.619722640944513e-07
23,385.119514034377,385.1195140343778,1.0000000000000002e-28,2.769292979110105e-05,7.190736067792088e-08
24,385.11950174269896,385.1195017426995,1.0000000000000002e-29,1.2291678046949528e-05,3.191652876320449e-08
25,385.11949628742474,385.1194962874248,1.0000000000000003e-30,5.4552742199120985e-06,1.4165146649874941e-08
26,385.11949386646955,385.11949386646995,1.0000000000000003e-31,2.420955183879414e-06,6.286244158547071e-09
27,385.1194927921236,385.1194927921244,1.0000000000000003e-32,1.0743459597506444e-06,2.789643154555938e-09
28,385.1194923153738,385.1194923153741,1.0000000000000004e-33,4.7674978986833594e-07,1.2379269260350624e-09
29,385.11949210381374,385.11949210381454,1.0000000000000004e-34,2.115600636898307e-07,5.493361616622211e-10
30,385.1194920099329,385.11949200993286,1.0000000000000004e-35,9.388082844452583e-08,2.437706487710549e-10
31,385.1194919682727,385.1194919682729,1.0000000000000004e-36,4.166020062257303e-08,1.0817473923521518e-10
32,385.1194919497844,385.1194919497854,1.0000000000000005e-37,1.8488321984477807e-08,4.800671575979574e-11
33,385.11949194158086,385.1194919415812,1.0000000000000005e-38,8.203528523154091e-09,2.130125505105243e-11
34,385.1194919379404,385.11949193794044,1.0000000000000004e-39,3.6404799175215885e-09,9.452858122470249e-12
35,385.11949193632427,385.11949193632563,1.0000000000000003e-40,1.6161152416316327e-09,4.196399495385862e-12
36,385.11949193560764,385.1194919356077,1.0000000000000004e-41,7.166249815782066e-10,1.860786058828447e-12
37,385.1194919352888,385.11949193528955,1.0000000000000004e-42,3.1883473639027216e-10,8.278852228117855e-13
