outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
1,1,True,160648.39580867896,3548660355.5203156,3548404596.454934,255759.06538152695,255602.23398871315,1.0006135759862753,0.01765612978829709,2760818730.705343,1.3689181975371912e-07
2,1,True,53549.46526955965,3548404596.454934,3547636482.265838,768114.189095974,766750.5187307243,1.001778505957201,0.05295053367098197,2760091752.669132,9.59322068066784e-07
3,1,True,17849.821756519883,3547636482.265838,3545325728.8268056,2310753.4390325546,2299615.9306642883,1.0048432036931703,0.15869469499396602,2757912952.821017,1.3785234262406225e-07
4,1,True,5949.940585506627,3545325728.8268056,3538356460.221755,6969268.605050564,6890756.787918034,1.0113937872934637,0.47474715589527805,2751395703.8282723,6.086556535262526e-07
5,1,True,1983.313528502209,3538356460.221755,3517344555.9756584,21011904.24609661,20573625.14685402,1.0213029593041656,1.4133009078056027,2732013788.4189477,2.3475617627371594e-07
6,1,True,661.1045095007363,3517344555.9756584,3454605057.929497,62739498.04616165,60709977.21755761,1.0334297741758516,4.15412478559888,2675332076.5496573,1.871793676119018e-07
7,1,True,220.36816983357875,3454605057.929497,3273835833.3196983,180769224.60979843,173006422.26368377,1.0448700241560003,11.858201090690805,2516965656.5330577,2.0949676211678572e-07
8,1,True,73.4560566111929,3273835833.3196983,2813177007.585214,460658825.7344842,444404000.786894,1.0365766845456121,31.726463832616812,2119626705.7510161,5.497771828236304e-07
9,1,True,24.48535220373097,2813177007.585214,1876665492.7570221,936511514.828192,908479955.0571089,1.0308554521374342,70.6590695068789,1319621139.6494205,3.213673184806289e-07
10,1,True,8.161784067910322,1876665492.7570221,616945338.5040729,1259720154.2529492,1236039073.591547,1.01915884470593,130.94350053711088,688083052.5413824,1.7248363171023039e-07
11,1,True,2.7205946893034403,616945338.5040729,41786976.895380884,575158361.608692,550937921.0326629,1.0439621954695568,136.1170705584917,535663469.20131004,1.0116047295436272e-07
12,1,True,0.9068648964344801,41786976.895380884,3857801.3062830353,37929175.58909785,40602569.69689693,0.9341570218890999,155.99377129602095,195482390.54741332,4.937259762470044e-08
13,1,True,0.3131566696451478,3857801.3062830353,391885.3174943801,3465915.988788655,3657019.7245211406,0.9477433128262635,187.6096969638214,31410244.266483754,8.620238860339309e-09
14,1,True,0.10438555654838261,391885.3174943801,82089.79590838614,309795.521585994,325949.9493374816,0.9504389315466295,225.74145667188031,7828913.608395809,3.4165372916630793e-09
15,1,True,0.034795185516127536,82089.79590838614,33423.49276993948,48666.30313844665,49952.902565437624,0.9742437503945733,265.5998000740521,1860386.2186829005,1.6334206608408777e-09
16,1,True,0.011598395172042511,33423.49276993948,21920.918477109437,11502.574292830046,12782.222087087004,0.899888471226791,295.19872423135064,413487.9176096193,2.741311858180596e-10
