outer,config,inner_cycles,pre_sweeps,xy_rel_to_direct20,xy_rel_to_gt,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error
0,c5,5,50,0.31131172385515254,0.27392804809952215,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942
1,c5,5,50,0.2290855864575531,0.3164986155137294,105553.47536767148,87.14406119422004,115.62366717194311,0.4911069125645061
2,c5,5,50,0.25187565292689335,0.35993543221815655,915.770086922936,102.50807195347474,131.49205897987986,0.5429948890244412
3,c5,5,50,0.17596609960909684,0.29373054386313463,612.8812791964511,87.38325252836404,107.30600696858869,0.45357593509138194
4,c5,5,50,0.11658863866459321,0.24218190899436243,601.3791537254152,74.18723933039374,88.47419567753299,0.3778849591537334
5,c5,5,50,0.07497059811396264,0.20676830678127386,597.0114794922735,64.91720214753434,75.53685454888557,0.32647923362973225
6,c5,5,50,0.04750373382646761,0.18409694692619824,595.0248030821404,58.88490800566226,67.25452521874384,0.29379304487644686
7,c5,5,50,0.02995889210491133,0.17005794855948234,594.1431128400378,55.09536194484467,62.12578090513656,0.2736193669275295
8,c5,5,50,0.018996388847319346,0.16151686153029166,593.7489547039268,52.76313604797161,59.005540387348546,0.26135813552082027
9,c5,5,50,0.012227215040614525,0.15633654696671015,593.5641468779392,51.33557142231717,57.11306143930231,0.25392672468240746
10,c5,5,50,0.008095828534475845,0.15320913042261833,593.4746478324713,50.46863693742725,55.970549744534985,0.24944017034994997
11,c5,5,50,0.005592112551167145,0.15131533747018036,593.4278659124993,49.941284523760956,55.2787069518901,0.24672482722731456
12,c5,5,50,0.004090821677525218,0.1501711693369366,593.4031040295316,49.621890761389274,54.860718028898496,0.24508490295522778
13,c5,5,50,0.003203173954849206,0.14948426034561113,593.389349319926,49.42998012364267,54.609775583347776,0.24409863628269035
14,c5,5,50,0.0026726710924500022,0.1490603316017768,593.380737598717,49.31104539663676,54.45490540831666,0.2434931166363261
15,c5,5,50,0.0023662078374631947,0.14881046937518053,593.376579212131,49.24118438302,54.36362542947719,0.2431345224087845
16,c5,5,50,0.002187451290563779,0.14866166032546244,593.3738368314431,49.19961309003734,54.309262322678606,0.24291977289817107
17,c5,5,50,0.0020808498316098596,0.14857080502074776,593.3720957798118,49.17419581017907,54.27607094995781,0.242788956671842
18,c5,5,50,0.0020215278314323127,0.14852104538068933,593.3713687056987,49.16047702738721,54.25789269647202,0.24271542497051599
19,c5,5,50,0.001973762352610514,0.14847575120091439,593.3697235216263,49.147295081066886,54.24134577048112,0.24265439834009392
20,c5,5,50,0.0019552954913381886,0.14846094395024353,593.3704018425495,49.14341360150473,54.23593636728194,0.2426318426626367
0,c10,10,50,0.31131172385515254,0.27392804809952215,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942
1,c10,10,50,0.12315690068475157,0.24032661987206488,123965.36589564722,75.59783896878601,87.79641915191986,0.41682895015504
2,c10,10,50,0.09535161537577146,0.22247713540648517,1075.512185121101,68.17483947103733,81.27562332572319,0.3391261475270607
3,c10,10,50,0.03735798362704193,0.17533100269163715,596.2242766128189,56.32706087531466,64.05213958751587,0.2772001723782593
4,c10,10,50,0.015413227791819905,0.15818345405672676,593.8263913624914,51.69105751901051,57.78777583047574,0.25269354773279523
5,c10,10,50,0.007404329200158287,0.1519998149222111,593.7225830818504,49.99444462018833,55.52876110448677,0.24401267176978503
6,c10,10,50,0.004717274011501291,0.1498664781337371,593.6921459853992,49.40574217229242,54.749407860252795,0.2410239654363333
7,c10,10,50,0.003837975352233436,0.14912532578883983,593.6802857864303,49.20077306260162,54.47864916542879,0.23999072250262216
8,c10,10,50,0.003544199446174169,0.14886379527282723,593.6759778350736,49.128193212652334,54.38310651261287,0.23962875497524389
9,c10,10,50,0.003449983879792802,0.14877851984761367,593.6753605689619,49.104615839013505,54.35195358839917,0.23950805638580674
10,c10,10,50,0.0034136391601738577,0.14874461132389372,593.674344539699,49.09513580243576,54.33956608441428,0.23946278320969827
11,c10,10,50,0.0034016502751942116,0.14873293417985367,593.674389392557,49.09183655349364,54.33530017565569,0.23944688681157483
12,c10,10,50,0.003393933637562802,0.14872433427808135,593.6740272047,49.0892828195655,54.33215844886291,0.23943695226699435
13,c10,10,50,0.0034019664661428246,0.14873380936262115,593.6754993564108,49.09218160668832,54.335619898510885,0.23944465363776432
14,c10,10,50,0.0034000052858598117,0.14873305934269826,593.674578564918,49.09205228957913,54.335345900301476,0.23944469377947852
15,c10,10,50,0.0033838022706855334,0.14871320936224783,593.6726117365557,49.08596706246247,54.328094280798354,0.2394265696996894
16,c10,10,50,0.0034048207970992033,0.14873661550607795,593.6764494414007,49.093011335739305,54.33664504232252,0.23944622670127116
17,c10,10,50,0.0033983078364680365,0.14873132660157845,593.6742259223781,49.0915440642879,54.334712893164266,0.23944312302178578
18,c10,10,50,0.003396440102274191,0.14872884146338058,593.6741925263028,49.09077125649291,54.333805019392386,0.2394407553828204
19,c10,10,50,0.003406114624964868,0.14874040272586656,593.6754295509818,49.09430077563252,54.33802859415778,0.23945121311311787
20,c10,10,50,0.0033930051786128118,0.14872563338133934,593.6732151198385,49.089845990311105,54.33263303887803,0.23943848394704062
