outer,method,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error
0,direct_newton,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942
0,persistent_mg_c1,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942
0,persistent_mg_c2,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942
1,direct_newton,84336.1907929816,44.61555674772324,46.910361401067064,0.21826304738278304
1,persistent_mg_c1,28212.24410741674,32.62733333440697,36.255140723232046,0.2390561272935802
1,persistent_mg_c2,26984.73423915783,32.13924974999915,36.37492852261194,0.20404841581454133
2,direct_newton,801.0644036306571,48.7660592553996,54.20554270832044,0.2391801437246549
2,persistent_mg_c1,1013.5556017223233,37.28049918566316,40.17398513824608,0.23710475775416526
2,persistent_mg_c2,1194.901584285639,44.948631773604816,54.63589917558245,0.26064255367861766
3,direct_newton,592.8567902704344,48.74184274524597,53.780782200291824,0.23952917898701911
3,persistent_mg_c1,695.6116424612611,44.110890887005276,48.06394142657781,0.25309412026648914
3,persistent_mg_c2,602.6410466609077,44.922216195463086,50.09807423329632,0.24307305907818558
5,direct_newton,592.8366092009369,48.689464361330856,53.699325793712354,0.23944706657767564
5,persistent_mg_c1,679.8912918295274,54.221306200795944,60.41882887974295,0.27125860524435985
5,persistent_mg_c2,593.394597876784,48.353195237040026,53.686587600398276,0.24188251845937314
10,direct_newton,592.8366091980176,48.688713721063465,53.698452096300365,0.23944471033819825
10,persistent_mg_c1,678.0817152157721,52.92432665774518,59.53006456515844,0.25214860802151473
10,persistent_mg_c2,593.1209508190685,48.4313602768368,53.805566055430134,0.2388405766647417
20,direct_newton,592.8366091994278,48.68559423009913,53.694885480017966,0.23943513391373517
20,persistent_mg_c1,677.7935791721146,51.80301370408106,58.31109144396452,0.24599149214838625
20,persistent_mg_c2,593.1209192966215,48.431977165461944,53.81100289081075,0.23881451666781334
