outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error
0,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942
1,84336.1907929816,44.61555674772324,46.910361401067064,0.21826304738278304
2,801.0644036306571,48.7660592553996,54.20554270832044,0.2391801437246549
3,592.8567902704344,48.74184274524597,53.780782200291824,0.23952917898701911
4,592.8366144322024,48.68980164935433,53.6999761994378,0.23945031505767067
5,592.8366092009369,48.689464361330856,53.699325793712354,0.23944706657767564
6,592.8366091980072,48.68875559792323,53.698509193397584,0.23944488427191987
7,592.8366091982144,48.690207415125634,53.700169141805354,0.23944942102505
8,592.8366091982971,48.69049901064834,53.7005146580625,0.239450352692661
9,592.836609198357,48.69064187682167,53.7006825495636,0.23945093500528042
10,592.8366091980176,48.688713721063465,53.698452096300365,0.23944471033819825
11,592.8366091982662,48.69045158513966,53.70046151970484,0.23945034669331075
12,592.8366091981753,48.68775541449088,53.6973586871318,0.23944181581987628
13,592.8366091981427,48.690033167223305,53.699992114116505,0.23944907465607784
14,592.8366091982169,48.69020636874417,53.70019609705263,0.23944976795326212
15,592.8366091981256,48.68799146656385,53.69762227971599,0.2394424039611956
16,592.8366091982135,48.690306327644855,53.70029706877221,0.23944990977864541
17,592.8366091980266,48.689022132767136,53.69880834198056,0.23944557766384722
18,592.8366091983781,48.6872410457416,53.696761172738704,0.23943996764299114
19,592.8366091983968,48.690769333598894,53.7008243728928,0.23945133953643954
20,592.8366091994278,48.68559423009913,53.694885480017966,0.23943513391373517
