i,j,index_gap,approx_path_length,gt_xy_distance,region_i,region_j
146,410,264,6600.0,19.27052387589374,head,tail
149,408,259,6475.0,45.97886423117963,head,tail
150,407,257,6425.0,43.933214017390085,head,tail
157,411,254,6350.0,38.18293820911166,head,tail
159,411,252,6300.0,34.51971649803989,head,tail
146,395,249,6225.0,17.142827247958664,head,tail
138,386,248,6200.0,9.348678735047105,head,tail
140,386,246,6150.0,9.524060082214788,head,tail
142,388,246,6150.0,38.55838637519406,head,tail
121,366,245,6125.0,27.588095288568176,head,tail
140,384,244,6100.0,26.88677818700571,head,tail
156,400,244,6100.0,40.5899472554854,head,tail
139,382,243,6075.0,41.12782809854005,head,tail
152,395,243,6075.0,36.54301617967877,head,tail
153,396,243,6075.0,12.115117003462117,head,tail
138,380,242,6050.0,29.16130403382433,head,tail
157,399,242,6050.0,27.261426083664084,head,tail
143,384,241,6025.0,25.83329319766671,head,tail
142,379,237,5925.0,35.3727103468797,head,tail
164,399,235,5875.0,40.305829372086556,head,tail
136,367,231,5775.0,45.6919186301007,head,tail
135,365,230,5750.0,39.40429787468692,head,tail
138,368,230,5750.0,40.34887769900628,head,tail
134,363,229,5725.0,29.39064738636159,head,tail
158,385,227,5675.0,34.64508404095789,head,tail
152,376,224,5600.0,40.18930742686598,head,tail
154,377,223,5575.0,32.227463828535164,head,tail
155,376,221,5525.0,30.942804991892412,head,tail
151,371,220,5500.0,8.949262198107546,head,tail
157,374,217,5425.0,44.47497066324244,head,tail
153,369,216,5400.0,35.747828231181536,head,tail
161,376,215,5375.0,18.16098176272838,head,tail
164,378,214,5350.0,30.585513612312436,head,tail
164,376,212,5300.0,36.67938596520017,head,tail
162,373,211,5275.0,27.315499863783906,head,tail
216,412,196,4900.0,35.788881679565826,middle,tail
152,346,194,4850.0,48.52201290263634,head,tail
206,399,193,4825.0,48.0372154788543,middle,tail
221,412,191,4775.0,43.63577237145461,middle,tail
243,433,190,4750.0,45.99179291237837,middle,tail
149,334,185,4625.0,15.155883961413977,head,middle
255,435,180,4500.0,38.79228094109725,middle,tail
257,436,179,4475.0,41.99447613812691,middle,tail
156,334,178,4450.0,40.08979098733592,head,middle
148,325,177,4425.0,32.25530351772854,head,middle
153,330,177,4425.0,37.57837403049022,head,middle
260,436,176,4400.0,45.758161568480986,middle,tail
148,319,171,4275.0,31.917836188747447,head,middle
224,395,171,4275.0,33.142951724936324,middle,tail
155,325,170,4250.0,45.57688120575097,head,middle
150,318,168,4200.0,4.559015710307156,head,middle
159,327,168,4200.0,46.93439721079627,head,middle
224,391,167,4175.0,40.38472132117883,middle,tail
151,317,166,4150.0,49.52990044095949,head,middle
149,314,165,4125.0,45.58573138552461,head,middle
262,426,164,4100.0,45.887272900982,middle,tail
245,407,162,4050.0,46.16737390074746,middle,tail
152,313,161,4025.0,29.571100666108553,head,middle
156,317,161,4025.0,47.59193479240275,head,middle
223,384,161,4025.0,26.8342688668972,middle,tail
231,391,160,4000.0,21.322063410547685,middle,tail
231,390,159,3975.0,40.910757346818066,middle,tail
232,391,159,3975.0,9.26910582393923,middle,tail
149,307,158,3950.0,29.1202455884912,head,middle
230,388,158,3950.0,25.919571013659134,middle,tail
152,308,156,3900.0,49.40778723369214,head,middle
230,385,155,3875.0,19.0973250675246,middle,tail
232,387,155,3875.0,22.597418154333205,middle,tail
150,304,154,3850.0,17.985673388318983,head,middle
232,385,153,3825.0,26.72575565973514,middle,tail
235,387,152,3800.0,44.44639608375495,middle,tail
162,313,151,3775.0,35.43154471850651,head,middle
228,378,150,3750.0,38.933916758781244,middle,tail
231,381,150,3750.0,42.181488881755364,middle,tail
162,311,149,3725.0,44.805221929848855,head,middle
253,402,149,3725.0,41.81054386599411,middle,tail
148,296,148,3700.0,47.95657654229565,head,middle
258,405,147,3675.0,33.82026996862846,middle,tail
153,298,145,3625.0,10.392805551107198,head,middle
259,402,143,3575.0,46.213784042541164,middle,tail
159,299,140,3500.0,36.368344267955564,head,middle
263,403,140,3500.0,36.730765947977325,middle,tail
153,291,138,3450.0,45.680504018274284,head,middle
263,401,138,3450.0,48.96731334184374,middle,tail
232,369,137,3425.0,19.455314284337398,middle,tail
270,406,136,3400.0,44.33345960441867,middle,tail
239,373,134,3350.0,39.50290573727364,middle,tail
241,371,130,3250.0,42.74955786854823,middle,tail
150,274,124,3100.0,45.27941381823458,head,middle
150,270,120,3000.0,37.39513395820169,head,middle
310,428,118,2950.0,23.16701627299564,middle,tail
232,348,116,2900.0,49.85873000166714,middle,tail
211,326,115,2875.0,46.322872952631485,middle,middle
238,350,112,2800.0,27.11553658808586,middle,tail
241,347,106,2650.0,44.161768498039805,middle,tail
24,129,105,2625.0,35.782091518786835,head,head
25,129,104,2600.0,40.565534741944276,head,head
290,394,104,2600.0,49.56555959007502,middle,tail
28,129,101,2525.0,21.653539541731213,head,head
238,339,101,2525.0,38.29960788618921,middle,middle
280,381,101,2525.0,43.97388001864987,middle,tail
299,400,101,2525.0,33.95516534406693,middle,tail
243,341,98,2450.0,26.419546577055645,middle,tail
303,401,98,2450.0,40.548076831308734,middle,tail
224,320,96,2400.0,40.7124839497494,middle,middle
299,395,96,2400.0,15.284549780000052,middle,tail
313,409,96,2400.0,45.30045380106864,middle,tail
293,387,94,2350.0,16.056723531511633,middle,tail
290,383,93,2325.0,44.853827982074925,middle,tail
141,233,92,2300.0,40.66145551973832,head,middle
143,235,92,2300.0,45.199777635145885,head,middle
246,338,92,2300.0,38.503339320041896,middle,middle
316,407,91,2275.0,10.113117860948199,middle,tail
137,227,90,2250.0,29.025123323323598,head,middle
138,228,90,2250.0,45.615316744110025,head,middle
146,236,90,2250.0,36.81827538582726,head,middle
312,402,90,2250.0,30.782176757301926,middle,tail
313,403,90,2250.0,31.487341687778855,middle,tail
139,228,89,2225.0,20.877747664606197,head,middle
142,230,88,2200.0,46.85698567873576,head,middle
142,229,87,2175.0,22.899920916639793,head,middle
139,225,86,2150.0,36.2692205807221,head,middle
255,341,86,2150.0,31.081122028095677,middle,tail
151,236,85,2125.0,41.36248086655735,head,middle
237,322,85,2125.0,18.705677946391603,middle,middle
293,378,85,2125.0,45.436089976164745,middle,tail
312,397,85,2125.0,20.78688747847278,middle,tail
314,399,85,2125.0,28.983873597874588,middle,tail
143,227,84,2100.0,44.19374486298066,head,middle
235,319,84,2100.0,35.08710064899647,middle,middle
236,320,84,2100.0,31.07980251098226,middle,middle
253,336,83,2075.0,40.62717996213706,middle,middle
236,317,81,2025.0,43.83976584215088,middle,middle
255,336,81,2025.0,22.882309115332895,middle,middle
327,407,80,2000.0,37.0412589336115,middle,tail
240,319,79,1975.0,41.76514165455906,middle,middle
291,370,79,1975.0,43.461007747122835,middle,tail
322,401,79,1975.0,46.781674998109985,middle,tail
279,357,78,1950.0,43.425329415745516,middle,tail
331,408,77,1925.0,33.02361062455172,middle,tail
155,231,76,1900.0,43.498224534381364,head,middle
319,395,76,1900.0,47.10868598242369,middle,tail
25,100,75,1875.0,37.71250101904628,head,head
266,339,73,1825.0,22.571344431352976,middle,middle
288,361,73,1825.0,16.78699154143651,middle,tail
