basis_source,outer,position_rel_to_direct20
joint_covariance,0,0.13766120503185358
joint_covariance,1,0.01984509699134612
joint_covariance,2,0.0002012725385047473
joint_covariance,3,2.1781051913110645e-05
joint_covariance,4,2.0066986961661663e-05
joint_covariance,5,2.0060559616604177e-05
joint_covariance,6,2.0100951547699424e-05
joint_covariance,7,1.9994639480227034e-05
joint_covariance,8,2.0248458127328554e-05
joint_covariance,9,2.0184317903013804e-05
joint_covariance,10,2.0018600255255806e-05
joint_covariance,11,2.0117133584036486e-05
joint_covariance,12,2.0221944519771242e-05
joint_covariance,13,2.0118882138387784e-05
joint_covariance,14,2.0051238674623283e-05
joint_covariance,15,1.9988150296804007e-05
joint_covariance,16,2.010831522948702e-05
joint_covariance,17,2.0129173100343565e-05
joint_covariance,18,1.9928072062827686e-05
joint_covariance,19,2.0118060188510063e-05
joint_covariance,20,2.0083274981095237e-05
message_conditioned_information,0,0.13766120503185358
message_conditioned_information,1,0.018157371121035982
message_conditioned_information,2,0.00046955084016898153
message_conditioned_information,3,0.00011267353688112492
message_conditioned_information,4,0.0001365255310857202
message_conditioned_information,5,0.00013769242460572292
message_conditioned_information,6,0.00013770607878889267
message_conditioned_information,7,0.00013764158877632823
message_conditioned_information,8,0.0001378281371675781
message_conditioned_information,9,0.00013766375827241803
message_conditioned_information,10,0.00013774238178492767
message_conditioned_information,11,0.0001377254334441951
message_conditioned_information,12,0.0001379316123087559
message_conditioned_information,13,0.00013783098517134235
message_conditioned_information,14,0.00013762492392061667
message_conditioned_information,15,0.0001378354638704852
message_conditioned_information,16,0.00013766001654078334
message_conditioned_information,17,0.00013757680069313144
message_conditioned_information,18,0.00013772728035749655
message_conditioned_information,19,0.0001375871526382417
message_conditioned_information,20,0.00013772987731890693
