outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,inner_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact
0,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942,,,,,,,,
1,9710.016767347004,63.402596139584276,66.15320678765127,0.17575969496098995,1000,1885.0375707778103,2874.4924959512828,0.8126945161669981,6.298940042082192e-11,6.945302480015179,94.13715702683253,-74626.1740256346
2,656.6481821488745,66.92677489118843,68.95293117739446,0.1366747777698695,1000,806.4124712413593,2368.232601084577,1.0714071690502287,4.0584096874660356e-11,2.637654689178346,103.87591732820287,-2835.66721453621
3,602.8371671791242,67.3927069694007,69.62097569700225,0.12469572267098182,1000,158.60913425024236,2600.637510491292,1.0103163199217262,4.075624378026384e-11,1.6848656243806566,107.08188611305887,-43.23547782538492
4,598.9200097905488,68.15625020108678,71.08217823827599,0.13177945221655424,1000,115.36626550488342,2653.3271652330973,1.0147123430031415,3.798973339311132e-11,1.1123157845647211,108.98805513274434,-10.692700083504292
5,597.4636568169499,68.51538485629345,71.99037267319282,0.13902927146972233,1000,67.55554536892933,2705.107935760266,1.0087718182237557,3.9534651144748013e-11,0.7960237473591677,109.92030675980047,-2.2012359023702857
6,596.8446155435847,68.58926091922433,72.4285559062853,0.14401239102167943,1000,38.64928573684127,2734.8953179745454,1.0044971869400507,3.761920992915829e-11,0.6333534859233042,110.29887051715421,0.3685614776567263
7,596.5249887869338,68.48910330058818,72.55307837221675,0.14706501518645915,1000,22.53485455199118,2749.5471475897925,1.0018063614738983,4.011858682334058e-11,0.5530805913423247,110.36732471083722,1.1267299583844306
8,596.3201757639995,68.28890311846169,72.48655395146886,0.1488346908537653,1000,14.553439715099465,2754.776965971038,1.0002003671458843,4.069264004077406e-11,0.5129852970020244,110.2617834155124,1.3296643522311342
9,596.1649284252154,68.03391210307922,72.30913529607874,0.14981682427226903,1000,11.424719433329953,2754.6978333165257,0.9992655009424408,3.862617274430837e-11,0.4917361927209104,110.07040342902607,1.3650829307709955
10,596.0348280833856,67.75057275999548,72.06936498138397,0.15032822362430315,1000,10.562131167209916,2751.263877748618,0.998727004424747,3.4878496207588953e-11,0.47949062643275886,109.82149292155381,1.3514562156531156
11,595.9199211694133,67.45394848808075,71.79555449546086,0.1505583143343364,1000,10.418148267791157,2746.1708753193748,0.9984174030694888,3.799483249786303e-11,0.4717609839433373,109.55163494180707,1.3238414848503908
12,595.81568595,67.15247229280114,71.50387918074983,0.15061701890845364,1000,10.41003612224437,2740.038752541775,0.9982382818899731,4.0854224263669664e-11,0.4664219364815448,109.26766725837486,1.293047227152556
13,595.7198032515702,66.85080208832206,71.20349592589668,0.15056759832778685,1000,10.386948444707116,2733.322122237732,0.9981333477480916,3.712260546265124e-11,0.46242354316521334,108.977202575889,1.2620733236841488
14,595.6309321703422,66.55146706613232,70.89955706332735,0.1504464790068159,1000,10.327702603043338,2726.149558984845,0.9980705148080826,3.6339210161367586e-11,0.4592262963745997,108.67954197703858,1.232067612456035
15,595.548209306092,66.25577519578148,70.59489826271265,0.1502745073352867,1000,10.241488434944776,2718.9739258716154,0.9980315320465227,3.8634867582604416e-11,0.4565199083963215,108.38881229472942,1.2030619788582726
16,595.471019602991,65.96438447555306,70.29111119872991,0.15006415243306467,1000,10.139055369659584,2711.6365924763586,0.9980062530924692,4.0556906751045905e-11,0.45414489211877956,108.09698875588998,1.1753763078122574
17,595.398890215947,65.6775826095245,69.98907227160723,0.14982303318250734,1000,10.028747947771805,2704.3385436542662,0.997989041197291,4.307210741331731e-11,0.45201130080865004,107.81065950719888,1.1488049655496297
18,595.3314365287073,65.39543680424745,69.68922071036512,0.1495557769744754,1000,9.916433337745291,2696.964287754624,0.997976246332644,3.606605213802839e-11,0.45005354759157795,107.52454049627846,1.1236348304889816
19,595.2683282648271,65.11791899082641,69.39180586717937,0.14926571075339387,1000,9.8046381741745,2689.7420129806924,0.9979664676861081,3.673402784017804e-11,0.44824363827962893,107.24709579495585,1.0995799039632175
20,595.2092754349029,64.84493709293139,69.09693703704605,0.14895509365272394,1000,9.695334098392621,2682.3869729301964,0.997958312199583,3.7307524976160064e-11,0.4465573123129665,106.9669015646025,1.076910943251164
