outer,direct_objective,mg_c1_objective,mg_minus_direct,direct_mean_pose_log_error,mg_c1_mean_pose_log_error,direct_rms_translation_error,mg_c1_rms_translation_error,direct_rms_angle_error,mg_c1_rms_angle_error
0,602585.0441299444,602585.0441299444,0.0,87.92730695372335,87.92730695372335,100.07173463021118,100.07173463021118,0.3696037132425942,0.3696037132425942
1,84336.1907929816,28212.24410741674,-56123.94668556485,44.61555674772324,32.62733333440697,46.910361401067064,36.255140723232046,0.21826304738278304,0.2390561272935802
2,801.0644036306571,1013.5556017223233,212.4911980916662,48.7660592553996,37.28049918566316,54.20554270832044,40.17398513824608,0.2391801437246549,0.23710475775416526
3,592.8567902704344,695.6116424612611,102.75485219082668,48.74184274524597,44.110890887005276,53.780782200291824,48.06394142657781,0.23952917898701911,0.25309412026648914
4,592.8366144322024,683.5169781367102,90.68036370450784,48.68980164935433,51.214478693684235,53.6999761994378,56.60243688103822,0.23945031505767067,0.2682709640591851
5,592.8366092009369,679.8912918295274,87.05468262859051,48.689464361330856,54.221306200795944,53.699325793712354,60.41882887974295,0.23944706657767564,0.27125860524435985
6,592.8366091980072,678.9774531469922,86.14084394898498,48.68875559792323,54.837437277756486,53.698509193397584,61.375806690062454,0.23944488427191987,0.26804035591233916
7,592.8366091982144,678.6092083687892,85.77259917057472,48.690207415125634,54.52289548633033,53.700169141805354,61.172097153288114,0.23944942102505,0.26319902270844797
8,592.8366091982971,678.3763344899634,85.53972529166629,48.69049901064834,53.94766002274096,53.7005146580625,60.6085633765728,0.239450352692661,0.2586258079645651
9,592.836609198357,678.2066999616628,85.37009076330583,48.69064187682167,53.38585823113497,53.7006825495636,60.023069377003125,0.23945093500528042,0.2549267746804238
10,592.8366091980176,678.0817152157721,85.24510601775444,48.688713721063465,52.92432665774518,53.698452096300365,59.53006456515844,0.23944471033819825,0.25214860802151473
11,592.8366091982662,677.9911201311476,85.15451093288141,48.69045158513966,52.57663698583089,53.70046151970484,59.1541048089303,0.23945034669331075,0.2501559254539682
12,592.8366091981753,677.926984874419,85.09037567624364,48.68775541449088,52.32215103268256,53.6973586871318,58.87683928096797,0.23944181581987628,0.24875201604537905
13,592.8366091981427,677.8821428999173,85.04553370177462,48.690033167223305,52.14564663008872,53.699992114116505,58.68398030588249,0.23944907465607784,0.24779472356224863
14,592.8366091982169,677.8514797182432,85.0148705200263,48.69020636874417,52.02381484224749,53.70019609705263,58.55070134598136,0.23944976795326212,0.24714572807404747
15,592.8366091981256,677.830515824247,84.99390662612132,48.68799146656385,51.94291827950368,53.69762227971599,58.46238407763737,0.2394424039611956,0.24671672602688904
16,592.8366091982135,677.8164278005265,84.979818602313,48.690306327644855,51.889584662922225,53.70029706877221,58.40435605743484,0.23944990977864541,0.24643483963983087
17,592.8366091980266,677.8069022643011,84.97029306627451,48.689022132767136,51.85299450202284,53.69880834198056,58.36463662645195,0.23944557766384722,0.24624582369656464
18,592.8366091983781,677.8006639573651,84.964054758987,48.6872410457416,51.825058677618074,53.696761172738704,58.33423455756314,0.23943996764299114,0.2461106263604832
19,592.8366091983968,677.7963543322727,84.95974513387591,48.690769333598894,51.81324348945755,53.7008243728928,58.32191075378662,0.23945133953643954,0.24604274768812684
20,592.8366091994278,677.7935791721146,84.9569699726868,48.68559423009913,51.80301370408106,53.694885480017966,58.31109144396452,0.23943513391373517,0.24599149214838625
