outer,direct_newton_objective,persistent_residual_mg_objective,direct_minus_optimum,mg_minus_optimum,mg_minus_direct,optimum_objective
0,812.7548653692855,812.7548653692855,785.9848353461676,785.9848353461676,0.0,26.77003002311786
1,85.69850470281511,85.68340184663509,58.92847467969725,58.91337182351723,-0.015102856180021718,26.77003002311786
2,26.776354143093155,26.77632829978771,0.00632411997529303,0.006298276669848946,-2.5843305444084308e-05,26.77003002311786
3,26.770034335761316,26.770034290585063,4.3126434547957615e-06,4.2674672009468395e-06,-4.517625384892199e-08,26.77003002311786
4,26.770030027892545,26.770030040951905,4.7746837594786484e-09,1.783404357524887e-08,1.3059359815770222e-08,26.77003002311786
5,26.770030023123468,26.770030038497467,5.6061821851471905e-12,1.537960514497172e-08,1.5373998962786573e-08,26.77003002311786
6,26.770030023116277,26.77003003855629,-1.5845103007450234e-12,1.543842742535162e-08,1.5440011935652365e-08,26.77003002311786
7,26.770030023118103,26.770030038539712,2.4158453015843406e-13,1.5421850463326336e-08,1.5421608878796178e-08,26.77003002311786
8,26.770030023115613,26.7700300385569,-2.248867758680717e-12,1.5439038492104373e-08,1.5441287359863054e-08,26.77003002311786
9,26.77003002311523,26.77003003856288,-2.632560835991171e-12,1.5445017709225795e-08,1.5447650270061786e-08,26.77003002311786
10,26.770030023115726,26.77003003855346,-2.135180920959101e-12,1.5435599465263294e-08,1.5437734646184254e-08,26.77003002311786
11,26.770030023117688,26.770030038560577,-1.7408297026122455e-13,1.5442715550761932e-08,1.5442889633732193e-08,26.77003002311786
12,26.77003002311525,26.770030038550782,-2.611244553918368e-12,1.543292071914948e-08,1.5435531963703397e-08,26.77003002311786
13,26.770030023115872,26.770030038547482,-1.9895196601282805e-12,1.5429620248141873e-08,1.5431609767802e-08,26.77003002311786
14,26.77003002311803,26.770030038560602,1.6697754290362354e-13,1.5442740419757683e-08,1.544257344221478e-08,26.77003002311786
15,26.77003002311642,26.77003003855629,-1.4424017535930034e-12,1.543842742535162e-08,1.5439869827105213e-08,26.77003002311786
16,26.77003002311779,26.77003003855851,-7.105427357601002e-14,1.544064787140087e-08,1.5440718925674446e-08,26.77003002311786
17,26.77003002311545,26.770030038559074,-2.41229258790554e-12,1.54412127528758e-08,1.5443625045463705e-08,26.77003002311786
18,26.77003002311579,26.770030038549596,-2.071232074740692e-12,1.543173411278076e-08,1.54338053448555e-08,26.77003002311786
19,26.77003002311532,26.770030038544693,-2.540190280342358e-12,1.5426831367904015e-08,1.5429371558184357e-08,26.77003002311786
20,26.77003002311786,26.770030038550537,0.0,1.543267558190564e-08,1.543267558190564e-08,26.77003002311786
