outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,linear_step_norm,linear_residual_norm
0,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,,
1,85.69850470190177,19.805362150981914,22.060058744484802,0.15855123317436431,160.95462297537537,1.4925137066687773e-12
2,26.776354132701922,21.68619230646685,24.301157715688795,0.1586994312497329,22.715347585047382,1.1253026722395078e-13
3,26.770034335777222,21.69339173536887,24.31183660167173,0.15896158830042625,0.1978046772290556,2.355152832403006e-15
4,26.77003002788885,21.693627682355277,24.312166282242863,0.15897189787296598,0.005388049523560586,5.2859790845564564e-17
5,26.77003002312114,21.693646682441976,24.31218775968925,0.1589720988241193,0.00031354494257581077,2.549131113583029e-18
6,26.770030023117556,21.69364913288626,24.31219564173934,0.15897243508672515,0.0003797441444813483,2.606796904104679e-18
7,26.770030023115815,21.69365938328228,24.312201826446618,0.15897218067006855,0.0003890077330428986,2.2624307232732192e-18
8,26.770030023115662,21.693654849975587,24.31219807888874,0.15897223603326446,8.925566882881213e-05,6.317867859761681e-19
9,26.770030023115087,21.693647424197735,24.312187319709867,0.1589720373784681,0.00019415714181801052,1.6696722958710292e-18
10,26.770030023116792,21.693649565312146,24.31219509076036,0.15897237427147023,0.00040769600074203575,4.802586834476942e-18
11,26.770030023116455,21.69365325109119,24.31219011334177,0.15897185254536242,0.0006875715465348126,4.116497682432762e-18
12,26.77003002311552,21.693656501651052,24.312196902519343,0.15897206262588498,0.00024368156688367424,1.5759180022598609e-18
13,26.77003002311565,21.693651876475485,24.31219068811786,0.15897197033039276,9.268748704044805e-05,1.23118110986093e-18
14,26.770030023115968,21.693640747699497,24.312178086584673,0.15897188919161176,0.00010207500150918862,9.190696336343701e-19
15,26.770030023115744,21.69363695637995,24.31217762880435,0.15897209319286454,0.00028057187532309983,1.8252861777707916e-18
16,26.77003002311578,21.693640143889095,24.31218283844912,0.15897221246158288,0.00012994176449359818,1.0542019624206318e-18
17,26.770030023117357,21.693635032458893,24.312179216616038,0.15897230418794867,0.0001637985219690901,9.51778256405164e-19
18,26.770030023116348,21.693633820539265,24.31217522486448,0.15897213848291633,0.00020147414782464336,1.2653967227218209e-18
19,26.77003002311545,21.693651201012447,24.312193900669026,0.15897220428817802,0.00016060396234223793,1.0956843997823535e-18
20,26.770030023116156,21.693656839582292,24.312195094036557,0.15897193274466448,0.0003817037523116315,2.4899848804152987e-18
