outer,optimum_objective_direct50,direct20_objective_minus_optimum,direct20_xy_rel_to_direct50,mg_c10_objective_minus_optimum,mg_c10_xy_rel_to_direct50,mg_c5_objective_minus_optimum,mg_c5_xy_rel_to_direct50,mg_c2_objective_minus_optimum,mg_c2_xy_rel_to_direct50,mg_c1_objective_minus_optimum,mg_c1_xy_rel_to_direct50
0,26.770030023115655,785.9848353461699,0.13766141690305253,785.9848353461699,0.13766141690305253,785.9848353461699,0.13766141690305253,785.9848353461699,0.13766141690305253,785.9848353461699,0.13766141690305253
1,26.770030023115655,58.92847467878612,0.019687714177361485,58.91337182347283,0.019638581307800475,58.970547548196464,0.01984514431861492,57.997095932034526,0.018674122879814806,43.243756665015795,0.02135518915930792
2,26.770030023115655,0.006324109586266502,0.0001745205001754354,0.006298271607537487,0.0001695656231343903,0.006478076316515313,0.00020111768681521612,0.006094967011673447,0.0008973333408434339,0.02648993290112145,0.002807435242372788
3,26.770030023115655,4.312661566530096e-06,4.815258413379406e-06,4.26745558357311e-06,4.521010984127357e-06,1.0593309305306775e-05,2.1775896898009066e-05,0.0001867193549003332,0.000289755614546513,0.008065239849859296,0.00045747320966991507
4,26.770030023115655,4.773195172447231e-09,2.1716349596240875e-07,1.781671343792368e-08,9.947911208061386e-07,5.500238586364503e-06,2.006592720143555e-05,0.00018594024006191034,0.0002648690760887329,0.008075864478758632,0.0005680001173201517
5,26.770030023115655,5.4853899200679734e-12,1.237407426157999e-07,1.5381701246042212e-08,9.576858719359143e-07,5.450974601473035e-06,1.99874151680187e-05,0.00018608472277392707,0.00026402697662332225,0.008138379031517928,0.0009651287402556959
6,26.770030023115655,1.900701818158268e-12,2.1869970448007258e-07,1.5437233713555543e-08,1.0035306005448246e-06,5.449689638226118e-06,1.990395974861526e-05,0.00018608518822915698,0.00026377140841853916,0.008175210453739368,0.0011355491364103687
7,26.770030023115655,1.5987211554602254e-13,1.8036780743426035e-07,1.5442939371723696e-08,9.955125078987083e-07,5.449894302955727e-06,1.995871889305412e-05,0.0001860867759297946,0.0002639137411535694,0.008192637098858313,0.0012074961603641837
8,26.770030023115655,7.105427357601002e-15,1.1411469866793145e-07,1.5420496879414713e-08,1.0469024004813253e-06,5.449892473308182e-06,2.0091281365634663e-05,0.00018608558021426802,0.00026373933685122137,0.0082003223803504,0.0012380656359050745
9,26.770030023115655,-5.684341886080801e-13,2.0979046903687826e-07,1.54390171758223e-08,1.0044651494934191e-06,5.449517729516629e-06,1.9854626305159587e-05,0.00018608734694680606,0.00026400434704468994,0.008203635839890921,0.0012508146338965505
10,26.770030023115655,1.1368683772161603e-12,1.598478038798408e-07,1.5429169053504665e-08,1.0449532731285637e-06,5.44973771354762e-06,1.988149105737336e-05,0.00018608593433100395,0.0002638535162618073,0.00820504310265946,0.0012566703982316574
11,26.770030023115655,7.993605777301127e-13,4.5556128346331064e-07,1.544091432492678e-08,9.980362850382914e-07,5.449427028736409e-06,1.9844783077943718e-05,0.000186090049204779,0.0002640997978943472,0.008205647588763298,0.0012588723224322158
12,26.770030023115655,-1.3500311979441904e-13,2.641201877668889e-07,1.5434409306180896e-08,9.977872143733156e-07,5.4501679045415585e-06,2.028027238296834e-05,0.0001860866781946413,0.0002637940223940887,0.008205905778197575,0.0012599591783910343
13,26.770030023115655,-7.105427357601002e-15,3.191838624966822e-07,1.5430707378527586e-08,9.830868543653246e-07,5.4494024226414695e-06,1.9789536579770992e-05,0.00018608761882887848,0.0002639427947843144,0.008206012163118004,0.001260361580757818
14,26.770030023115655,3.126388037344441e-13,3.281459597107355e-07,1.543688554761502e-08,9.876934791968893e-07,5.449790634770579e-06,1.991171014912677e-05,0.000186088125087025,0.00026405574283555426,0.008206058700473307,0.0012606736247089913
15,26.770030023115655,8.881784197001252e-14,9.40755743325102e-08,1.5438818223856288e-08,1.043159389747945e-06,5.449857585659856e-06,1.9919324286850845e-05,0.00018608472263537124,0.0002635953951151302,0.0082060831151054,0.0012606257154013324
16,26.770030023115655,1.2434497875801753e-13,2.4532882300977998e-08,1.5440623002405118e-08,1.0852388180031825e-06,5.449942214852399e-06,1.9932897268868283e-05,0.0001860860582603152,0.00026376577954590987,0.00820608760388808,0.0012606401899385845
17,26.770030023115655,1.70174985214544e-12,1.6585624502174137e-07,1.5443685441596244e-08,1.0862350865667496e-06,5.44991446105314e-06,2.004947901425113e-05,0.00018608651814133736,0.0002638749496724543,0.008206086020461356,0.0012604518028621683
18,26.770030023115655,6.927791673660977e-13,6.14819857115398e-08,1.5448339496515473e-08,1.0204365848820173e-06,5.449484845598818e-06,1.9753456494048656e-05,0.00018609043610240406,0.0002642760320812014,0.008206082701196493,0.0012603680689773343
19,26.770030023115655,-2.0605739337042905e-13,9.039816561352563e-08,1.5438001099710164e-08,1.0482293808349744e-06,5.450074326063259e-06,2.009277369371301e-05,0.00018608812707299194,0.0002638519619715244,0.008206079827310475,0.0012603477920108339
20,26.770030023115655,5.009326287108706e-13,3.956659091410455e-07,1.5440978273773e-08,1.117407849474551e-06,5.449621028219553e-06,1.9912405107501535e-05,0.00018608512275264388,0.0002636963926038821,0.008206076837435461,0.0012604336072931008
