outer,optimum_objective_direct50,direct20_minus_optimum,mg_c10_minus_optimum,mg_c5_minus_optimum,mg_c2_minus_optimum,mg_c1_minus_optimum,mg_c10_minus_direct20,mg_c5_minus_direct20,mg_c2_minus_direct20,mg_c1_minus_direct20
0,26.770030023115805,785.9848353461697,785.9848353461697,785.9848353461697,785.9848353461697,785.9848353461697,0.0,0.0,0.0,0.0
1,26.770030023115805,58.928474679699306,58.913371823519284,58.97054754819631,57.99709593203437,43.24375666501564,-0.015102856180021718,0.042072868497001537,-0.9313787476649367,-15.684718014683668
2,26.770030023115805,0.006324119977350051,0.006298276671905967,0.006478076316366099,0.006094967011524233,0.026489932900972235,-2.5843305444084308e-05,0.0001539563390160481,-0.00022915296582581846,0.020165812923622184
3,26.770030023115805,4.3126455118169815e-06,4.2674692579680595e-06,1.05933091560928e-05,0.00018671935475111923,0.008065239849710082,-4.517625384892199e-08,6.280663644275819e-06,0.00018240670923930224,0.008060927204198265
4,26.770030023115805,4.776740780698674e-09,1.7836100596468896e-08,5.500238437150529e-06,0.00018594023991269637,0.008075864478609418,1.3059359815770222e-08,5.49546169636983e-06,0.00018593546317191567,0.008075859701868637
5,26.770030023115805,7.66320340517268e-12,1.5381662166191745e-08,5.450974452259061e-06,0.0001860847226247131,0.008138379031368714,1.5373998962786573e-08,5.450966789055656e-06,0.0001860847149615097,0.008138379023705511
6,26.770030023115805,4.725109192804666e-13,1.5440484446571645e-08,5.449689489012144e-06,0.000186085188079943,0.008175210453590154,1.5440011935652365e-08,5.449689016501225e-06,0.0001860851876074321,0.008175210453117643
7,26.770030023115805,2.298605750183924e-12,1.5423907484546362e-08,5.449894153741752e-06,0.00018608677578058064,0.008192637098709099,1.5421608878796178e-08,5.449891855136002e-06,0.0001860867734819749,0.008192637096410493
8,26.770030023115805,-1.9184653865522705e-13,1.54410955133244e-08,5.449892324094208e-06,0.00018608558006505405,0.008200322380201186,1.5441287359863054e-08,5.449892515940746e-06,0.00018608558025690058,0.008200322380393033
9,26.770030023115805,-5.755396159656812e-13,1.544707473044582e-08,5.449517580302654e-06,0.0001860873467975921,0.008203635839741708,1.5447650270061786e-08,5.44951815584227e-06,0.0001860873473731317,0.008203635840317247
10,26.770030023115805,-7.815970093361102e-14,1.543765648648332e-08,5.449737564333645e-06,0.00018608593418178998,0.008205043102510245,1.5437734646184254e-08,5.449737642493346e-06,0.00018608593425994968,0.008205043102588405
11,26.770030023115805,1.8829382497642655e-12,1.5444772571981957e-08,5.449426879522434e-06,0.00018609004905556503,0.008205647588614084,1.5442889633732193e-08,5.4494249965841846e-06,0.00018609004717262678,0.008205647586731146
12,26.770030023115805,-5.542233338928781e-13,1.5434977740369504e-08,5.450167755327584e-06,0.00018608667804542733,0.008205905778048361,1.5435531963703397e-08,5.450168309550918e-06,0.00018608667859965067,0.008205905778602585
13,26.770030023115805,6.750155989720952e-14,1.54316772693619e-08,5.449402273427495e-06,0.0001860876186796645,0.00820601216296879,1.5431609767802e-08,5.449402205925935e-06,0.00018608761861216294,0.008206012162901288
14,26.770030023115805,2.2239987629291136e-12,1.544479744097771e-08,5.449790485556605e-06,0.00018608812493781102,0.008206058700324093,1.544257344221478e-08,5.449788261557842e-06,0.00018608812271381225,0.008206058698100094
15,26.770030023115805,6.146194664324867e-13,1.5440484446571645e-08,5.449857436445882e-06,0.00018608472248615726,0.008206083114956186,1.5439869827105213e-08,5.449856821826415e-06,0.0001860847218715378,0.008206083114341567
16,26.770030023115805,1.98596694644948e-12,1.5442704892620895e-08,5.4499420656384245e-06,0.00018608605811110124,0.008206087603738865,1.5440718925674446e-08,5.449940079671478e-06,0.0001860860561251343,0.008206087601752898
17,26.770030023115805,-3.552713678800501e-13,1.5443269774095825e-08,5.449914311839166e-06,0.0001860865179921234,0.008206086020312142,1.5443625045463705e-08,5.449914667110534e-06,0.00018608651834739476,0.008206086020667414
18,26.770030023115805,-1.4210854715202004e-14,1.5433791134000785e-08,5.449484696384843e-06,0.00018609043595319008,0.00820608270104728,1.54338053448555e-08,5.449484710595698e-06,0.00018609043596740094,0.00820608270106149
19,26.770030023115805,-4.831690603168681e-13,1.542888838912404e-08,5.450074176849284e-06,0.00018608812692377796,0.008206079827161261,1.5429371558184357e-08,5.450074660018345e-06,0.00018608812740694702,0.00820607982764443
20,26.770030023115805,2.05702122002549e-12,1.5434732603125667e-08,5.449620879005579e-06,0.0001860851226034299,0.008206076837286247,1.543267558190564e-08,5.449618821984359e-06,0.0001860851205464087,0.008206076835229226
