outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,linear_step_norm,linear_residual_norm
0,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942,,
1,84336.19082937724,44.615556766644154,46.9103614212484,0.21826304744116864,2874.4924961620245,6.462553397134563e-11
2,801.0167070446931,48.762644195256954,54.20161254729034,0.23916959314902375,752.178323905202,8.36252879748484e-12
3,592.8567869238555,48.73784571274285,53.77617308646957,0.23951650487512496,51.30456869629578,5.22542779045691e-13
4,592.8366144308893,48.691378605321674,53.701784033400095,0.23945528867875043,3.3631302889537587,1.3750755516340224e-14
5,592.8366092014379,48.686919384846256,53.69641204028666,0.2394390841305917,0.1353536953334599,1.413909679620936e-15
6,592.8366091980141,48.6892493697774,53.69907315810303,0.2394464189137765,0.06350438095956595,8.085627386435892e-16
7,592.8366091980229,48.68859020927211,53.698330028604474,0.23944455050556274,0.017941732410604632,2.292996066923927e-16
8,592.8366091980809,48.688132184227356,53.69779363267475,0.23944302772587542,0.013032883164485434,1.5969037930519256e-16
9,592.8366091984234,48.6871122206211,53.69662494848697,0.23943977359595592,0.027841363210276443,3.7677962659274384e-16
10,592.8366091983373,48.687317113788794,53.69684700827729,0.23944028407121848,0.005696976433977489,8.582831538450062e-17
11,592.8366091989933,48.69179493847215,53.702004259765914,0.23945446670397125,0.12353013826077858,1.6849534526564205e-15
12,592.8366091981887,48.69020102213031,53.70017272263259,0.239449443884381,0.0438548339419312,5.667350756341784e-16
13,592.8366091980665,48.68820161082653,53.697874493998135,0.23944314178434284,0.05496778976826463,6.829239033144742e-16
14,592.8366091988836,48.69164111869648,53.70182634806335,0.23945401773111008,0.09449437292338385,1.203940219665986e-15
15,592.8366091982588,48.687509296150196,53.69707290760487,0.23944100418023295,0.11384139199819733,1.428574661251331e-15
16,592.8366091986109,48.69120804813127,53.701336738702295,0.2394527876332307,0.10214755433726252,1.4268788870867022e-15
17,592.8366091980997,48.68989003566209,53.6998165051971,0.2394486003078842,0.03644797362102033,4.58406669719635e-16
18,592.8366091981767,48.687764411480785,53.69736671150844,0.23944179957672077,0.058615176967170314,9.41555084244592e-16
19,592.8366091985467,48.68690967872821,53.696397971045094,0.23943933688311356,0.02332551018248398,3.2458104014495906e-16
20,592.8366091979987,48.68902332006972,53.698821716922616,0.2394457956040138,0.05806960962684917,7.394603652644262e-16
